"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2010","2010",81.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2011","2011",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2012","2012",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2013","2013",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2014","2014",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2015","2015",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2016","2016",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2017","2017",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2018","2018",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2019","2019",82.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2020","2020",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2021","2021",81.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2010","2010",80.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2011","2011",81.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2012","2012",81.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2013","2013",81.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2014","2014",82,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2015","2015",81.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2016","2016",82.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2017","2017",82,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2018","2018",82,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2019","2019",82.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2020","2020",81.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2021","2021",80.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","CZE","Czechia","2022","2022",82,"P","Provisional value"
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2010","2010",74.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2011","2011",74.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2012","2012",75.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2013","2013",75.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2014","2014",75.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2015","2015",75.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2016","2016",76.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2017","2017",76.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2018","2018",76.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2019","2019",76.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2020","2020",75.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2021","2021",74.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","CZE","Czechia","2022","2022",76.2,"P","Provisional value"
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2010","2010",77.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2011","2011",78,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2012","2012",78.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2013","2013",78.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2014","2014",78.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2015","2015",78.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2016","2016",79.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2017","2017",79.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2018","2018",79.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2019","2019",79.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2020","2020",78.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2021","2021",77.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2022","2022",79.1,"P","Provisional value"
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2010","2010",81.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2011","2011",81.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2012","2012",82.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2013","2013",82.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2014","2014",82.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2015","2015",82.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2016","2016",82.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2017","2017",83.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2018","2018",82.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2019","2019",83.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2020","2020",83.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2021","2021",83.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","DNK","Denmark","2022","2022",83.2,"P","Provisional value"
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2010","2010",77.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2011","2011",77.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2012","2012",78.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2013","2013",78.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2014","2014",78.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2015","2015",78.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2016","2016",79,,
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2017","2017",79.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2018","2018",79.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2019","2019",79.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2020","2020",79.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2021","2021",79.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","DNK","Denmark","2022","2022",79.5,"P","Provisional value"
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2010","2010",79.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2011","2011",79.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2012","2012",80.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2013","2013",80.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2014","2014",80.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2015","2015",80.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2016","2016",80.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2017","2017",81.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2018","2018",81,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2019","2019",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2020","2020",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2021","2021",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2022","2022",81.3,"P","Provisional value"
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2010","2010",83.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2011","2011",83.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2012","2012",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2013","2013",84.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2014","2014",84.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2015","2015",84.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2016","2016",84.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2017","2017",84.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2018","2018",84.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2019","2019",84.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2020","2020",84.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2021","2021",84.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FIN","Finland","2022","2022",83.8,"P","Provisional value"
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2010","2010",76.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2011","2011",77.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2012","2012",77.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2013","2013",78,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2014","2014",78.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2015","2015",78.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2016","2016",78.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2017","2017",78.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2018","2018",79.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2019","2019",79.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2020","2020",79.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2021","2021",79.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FIN","Finland","2022","2022",78.7,"P","Provisional value"
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2010","2010",80.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2011","2011",80.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2012","2012",80.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2013","2013",81.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2014","2014",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2015","2015",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2016","2016",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2017","2017",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2018","2018",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2019","2019",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2020","2020",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2021","2021",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2022","2022",81.2,"P","Provisional value"
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2010","2010",85.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2011","2011",85.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2012","2012",85.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2013","2013",85.6,"B","Break"
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2014","2014",86.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2015","2015",85.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2016","2016",85.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2017","2017",85.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2018","2018",85.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2019","2019",85.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2020","2020",85.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2021","2021",85.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","FRA","France","2022","2022",85.2,"P","Provisional value"
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2010","2010",78.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2011","2011",78.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2012","2012",78.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2013","2013",79,"B","Break"
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2014","2014",79.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2015","2015",79.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2016","2016",79.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2017","2017",79.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2018","2018",79.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2019","2019",79.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2020","2020",79.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2021","2021",79.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","FRA","France","2022","2022",79.4,"P","Provisional value"
"EVIETOTA","Total population at birth","EVIDUREV","Years","FRA","France","2010","2010",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FRA","France","2011","2011",82.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FRA","France","2012","2012",82.1,,
