Sex,Persons (Cases per 100 000 persons),Year,Country,Type of Cancer
Female,19.8,2012,Belgium,"Malignant neoplasms of trachea, bronchus, lung"
Female,288.9,2012,Belgium,Malignant neoplasms
Female,276.2,2008,Belgium,Malignant neoplasms
Female,245,2002,Belgium,Malignant neoplasms
Female,234.6,2000,Belgium,Malignant neoplasms
Female,233.1,1998,Belgium,Malignant neoplasms
Female,8.6,2012,Belgium,Malignant neoplasms of cervix uteri
Female,9.4,2008,Belgium,Malignant neoplasms of cervix uteri
Female,9.4,2002,Belgium,Malignant neoplasms of cervix uteri
Female,9.1,2000,Belgium,Malignant neoplasms of cervix uteri
Female,28.5,2012,Canada,"Malignant neoplasms of colon, rectum and anus"
Female,7.7,2002,Canada,Malignant neoplasms of cervix uteri
Female,79.8,2012,Canada,Malignant neoplasms of female breast
Female,83.2,2008,Canada,Malignant neoplasms of female breast
Female,84.3,2002,Canada,Malignant neoplasms of female breast
Female,31.8,2008,Canada,"Malignant neoplasms of colon, rectum and anus"
Female,30.6,2002,Canada,"Malignant neoplasms of colon, rectum and anus"
Female,277.4,2012,Canada,Malignant neoplasms
Female,275,2008,Canada,Malignant neoplasms
Female,272.4,2002,Canada,Malignant neoplasms
Female,34.4,2012,Canada,"Malignant neoplasms of trachea, bronchus, lung"
Female,32.4,2008,Canada,"Malignant neoplasms of trachea, bronchus, lung"
Female,31.6,2002,Canada,"Malignant neoplasms of trachea, bronchus, lung"
Female,6.3,2012,Canada,Malignant neoplasms of cervix uteri
Female,11.9,2008,Chile,"Malignant neoplasms of colon, rectum and anus"
Female,163.3,2012,Chile,Malignant neoplasms
Female,159.5,2008,Chile,Malignant neoplasms
Female,34.8,2012,Chile,Malignant neoplasms of female breast
Female,40.1,2008,Chile,Malignant neoplasms of female breast
Female,12.8,2012,Chile,Malignant neoplasms of cervix uteri
Female,14.4,2008,Chile,Malignant neoplasms of cervix uteri
Female,10.2,2012,Chile,"Malignant neoplasms of trachea, bronchus, lung"
Female,9.2,2008,Chile,"Malignant neoplasms of trachea, bronchus, lung"
Female,35.7,2012,Colombia,Malignant neoplasms of female breast
Female,151.5,2012,Colombia,Malignant neoplasms
Female,7.1,2012,Colombia,"Malignant neoplasms of trachea, bronchus, lung"
Female,18.7,2012,Colombia,Malignant neoplasms of cervix uteri
Female,169.2,2012,Costa Rica,Malignant neoplasms
Female,5,2012,Costa Rica,"Malignant neoplasms of trachea, bronchus, lung"
Female,11.4,2012,Costa Rica,Malignant neoplasms of cervix uteri
Female,15.9,2012,Costa Rica,"Malignant neoplasms of colon, rectum and anus"
Female,27.1,2012,Czechia,"Malignant neoplasms of colon, rectum and anus"
Female,247.6,2002,Czechia,Malignant neoplasms
Female,14.1,2012,Czechia,Malignant neoplasms of cervix uteri
Female,13.8,2008,Czechia,Malignant neoplasms of cervix uteri
Female,16.2,2002,Czechia,Malignant neoplasms of cervix uteri
Female,29.6,2008,Czechia,"Malignant neoplasms of colon, rectum and anus"
Female,32,2002,Czechia,"Malignant neoplasms of colon, rectum and anus"
Female,70.3,2012,Czechia,Malignant neoplasms of female breast
Female,67.7,2008,Czechia,Malignant neoplasms of female breast
Female,58.4,2002,Czechia,Malignant neoplasms of female breast
Female,17.8,2012,Czechia,"Malignant neoplasms of trachea, bronchus, lung"
Female,15.8,2008,Czechia,"Malignant neoplasms of trachea, bronchus, lung"
Female,13.3,2002,Czechia,"Malignant neoplasms of trachea, bronchus, lung"
Female,258.9,2012,Czechia,Malignant neoplasms
Female,37.6,2012,Denmark,"Malignant neoplasms of trachea, bronchus, lung"
Female,35.2,2008,Denmark,"Malignant neoplasms of colon, rectum and anus"
Female,33,2002,Denmark,"Malignant neoplasms of colon, rectum and anus"
Female,30.5,2000,Denmark,"Malignant neoplasms of colon, rectum and anus"
Female,30.6,1998,Denmark,"Malignant neoplasms of colon, rectum and anus"
Female,36.3,2008,Denmark,"Malignant neoplasms of trachea, bronchus, lung"
Female,29.8,2002,Denmark,"Malignant neoplasms of trachea, bronchus, lung"
Female,27.7,2000,Denmark,"Malignant neoplasms of trachea, bronchus, lung"
Female,29.7,1998,Denmark,"Malignant neoplasms of trachea, bronchus, lung"
Female,328.8,2012,Denmark,Malignant neoplasms
Female,312.9,2008,Denmark,Malignant neoplasms
Female,285.5,2002,Denmark,Malignant neoplasms
Female,296.9,2000,Denmark,Malignant neoplasms
Female,268.7,1998,Denmark,Malignant neoplasms
Female,35.7,2012,Denmark,"Malignant neoplasms of colon, rectum and anus"
Female,105,2012,Denmark,Malignant neoplasms of female breast
Female,89.1,2008,Denmark,Malignant neoplasms of female breast
Female,88.7,2002,Denmark,Malignant neoplasms of female breast
Female,86.2,2000,Denmark,Malignant neoplasms of female breast
Female,84,1998,Denmark,Malignant neoplasms of female breast
Female,10.6,2012,Denmark,Malignant neoplasms of cervix uteri
Female,11,2008,Denmark,Malignant neoplasms of cervix uteri
Female,12.6,2002,Denmark,Malignant neoplasms of cervix uteri
Female,15.3,2000,Denmark,Malignant neoplasms of cervix uteri
Female,50.2,2008,Estonia,Malignant neoplasms of female breast
Female,19.9,2012,Estonia,Malignant neoplasms of cervix uteri
Female,15.8,2008,Estonia,Malignant neoplasms of cervix uteri
Female,22.6,2012,Estonia,"Malignant neoplasms of colon, rectum and anus"
Female,22.2,2008,Estonia,"Malignant neoplasms of colon, rectum and anus"
Female,9.4,2012,Estonia,"Malignant neoplasms of trachea, bronchus, lung"
Female,9,2008,Estonia,"Malignant neoplasms of trachea, bronchus, lung"
Female,202.7,2012,Estonia,Malignant neoplasms
Female,203.5,2008,Estonia,Malignant neoplasms
Female,234.2,2012,Finland,Malignant neoplasms
Female,86.6,2008,Finland,Malignant neoplasms of female breast
Female,84.7,2002,Finland,Malignant neoplasms of female breast
Female,78.4,2000,Finland,Malignant neoplasms of female breast
Female,75.3,1998,Finland,Malignant neoplasms of female breast
Female,229.9,2008,Finland,Malignant neoplasms
Female,227.9,2002,Finland,Malignant neoplasms
Female,222.6,2000,Finland,Malignant neoplasms
Female,221.1,1998,Finland,Malignant neoplasms
Female,4.3,2012,Finland,Malignant neoplasms of cervix uteri
Female,3.7,2008,Finland,Malignant neoplasms of cervix uteri
Female,4.3,2002,Finland,Malignant neoplasms of cervix uteri
Female,4.2,2000,Finland,Malignant neoplasms of cervix uteri
Female,4.5,1998,Finland,Malignant neoplasms of cervix uteri
Female,89.4,2012,Finland,Malignant neoplasms of female breast
Female,19.7,2012,Finland,"Malignant neoplasms of colon, rectum and anus"
Female,19.8,2008,Finland,"Malignant neoplasms of colon, rectum and anus"
Female,21.1,2002,Finland,"Malignant neoplasms of colon, rectum and anus"
Female,21.2,2000,Finland,"Malignant neoplasms of colon, rectum and anus"
Female,19,1998,Finland,"Malignant neoplasms of colon, rectum and anus"
Female,12.2,2012,Finland,"Malignant neoplasms of trachea, bronchus, lung"
Female,10.8,2008,Finland,"Malignant neoplasms of trachea, bronchus, lung"
Female,10.1,2002,Finland,"Malignant neoplasms of trachea, bronchus, lung"
Female,8.9,2000,Finland,"Malignant neoplasms of trachea, bronchus, lung"
Female,24.9,2012,France,"Malignant neoplasms of colon, rectum and anus"
Female,99.7,2008,France,Malignant neoplasms of female breast
Female,91.9,2002,France,Malignant neoplasms of female breast
Female,83.2,2000,France,Malignant neoplasms of female breast
Female,80.1,1998,France,Malignant neoplasms of female breast
Female,24.1,2008,France,"Malignant neoplasms of colon, rectum and anus"
Female,25.9,2002,France,"Malignant neoplasms of colon, rectum and anus"
Female,26.8,2000,France,"Malignant neoplasms of colon, rectum and anus"
Female,23,1998,France,"Malignant neoplasms of colon, rectum and anus"
Female,261.9,2012,France,Malignant neoplasms
Female,254.9,2008,France,Malignant neoplasms
Female,237.2,2002,France,Malignant neoplasms
Female,220.3,2000,France,Malignant neoplasms
Female,211.6,1998,France,Malignant neoplasms
Female,89.7,2012,France,Malignant neoplasms of female breast
Female,6.8,2012,France,Malignant neoplasms of cervix uteri
Female,7.1,2008,France,Malignant neoplasms of cervix uteri
Female,9.8,2002,France,Malignant neoplasms of cervix uteri
Female,10.1,2000,France,Malignant neoplasms of cervix uteri
Female,9.9,1998,France,Malignant neoplasms of cervix uteri
Female,20.2,2012,France,"Malignant neoplasms of trachea, bronchus, lung"
Female,14.7,2008,France,"Malignant neoplasms of trachea, bronchus, lung"
Female,8.8,2002,France,"Malignant neoplasms of trachea, bronchus, lung"
Female,7.4,2000,France,"Malignant neoplasms of trachea, bronchus, lung"
Female,17.9,2012,Germany,"Malignant neoplasms of trachea, bronchus, lung"
Female,81.8,2008,Germany,Malignant neoplasms of female breast
Female,79.8,2002,Germany,Malignant neoplasms of female breast
Female,73.7,2000,Germany,Malignant neoplasms of female breast
Female,65,1998,Germany,Malignant neoplasms of female breast
Female,16.4,2008,Germany,"Malignant neoplasms of trachea, bronchus, lung"
Female,12.7,2002,Germany,"Malignant neoplasms of trachea, bronchus, lung"
Female,11.4,2000,Germany,"Malignant neoplasms of trachea, bronchus, lung"
Female,11.8,1998,Germany,"Malignant neoplasms of trachea, bronchus, lung"
Female,252.5,2012,Germany,Malignant neoplasms
Female,245.7,2008,Germany,Malignant neoplasms
Female,248.9,2002,Germany,Malignant neoplasms
Female,235.3,2000,Germany,Malignant neoplasms
Female,206.2,1998,Germany,Malignant neoplasms
Female,91.6,2012,Germany,Malignant neoplasms of female breast
Female,8.2,2012,Germany,Malignant neoplasms of cervix uteri
Female,6.9,2008,Germany,Malignant neoplasms of cervix uteri
Female,10.8,2002,Germany,Malignant neoplasms of cervix uteri
Female,11.5,2000,Germany,Malignant neoplasms of cervix uteri
Female,9.4,1998,Germany,Malignant neoplasms of cervix uteri
Female,23.3,2012,Germany,"Malignant neoplasms of colon, rectum and anus"
Female,27.3,2008,Germany,"Malignant neoplasms of colon, rectum and anus"
Female,33.1,2002,Germany,"Malignant neoplasms of colon, rectum and anus"
Female,32,2000,Germany,"Malignant neoplasms of colon, rectum and anus"
Female,43.9,2012,Greece,Malignant neoplasms of female breast
Female,11.5,2008,Greece,"Malignant neoplasms of colon, rectum and anus"
Female,15.6,2002,Greece,"Malignant neoplasms of colon, rectum and anus"
Female,13.6,2000,Greece,"Malignant neoplasms of colon, rectum and anus"
Female,14.1,1998,Greece,"Malignant neoplasms of colon, rectum and anus"
Female,44.9,2008,Greece,Malignant neoplasms of female breast
Female,51.6,2002,Greece,Malignant neoplasms of female breast
Female,47.6,2000,Greece,Malignant neoplasms of female breast
Female,49.9,1998,Greece,Malignant neoplasms of female breast
Female,5.2,2012,Greece,Malignant neoplasms of cervix uteri
Female,3.8,2008,Greece,Malignant neoplasms of cervix uteri
Female,7.7,2002,Greece,Malignant neoplasms of cervix uteri
Female,6.9,2000,Greece,Malignant neoplasms of cervix uteri
Female,6.2,1998,Greece,Malignant neoplasms of cervix uteri
Female,11.2,2012,Greece,"Malignant neoplasms of colon, rectum and anus"
Female,9,2012,Greece,"Malignant neoplasms of trachea, bronchus, lung"
Female,8.5,2008,Greece,"Malignant neoplasms of trachea, bronchus, lung"
Female,8.7,2002,Greece,"Malignant neoplasms of trachea, bronchus, lung"
Female,8.3,2000,Greece,"Malignant neoplasms of trachea, bronchus, lung"
Female,8.2,1998,Greece,"Malignant neoplasms of trachea, bronchus, lung"
Female,138,2012,Greece,Malignant neoplasms
Female,141.9,2008,Greece,Malignant neoplasms
Female,171.1,2002,Greece,Malignant neoplasms
Female,158,2000,Greece,Malignant neoplasms
Female,33.2,2012,Hungary,"Malignant neoplasms of trachea, bronchus, lung"
Female,15.7,2002,Hungary,Malignant neoplasms of cervix uteri
Female,54.5,2012,Hungary,Malignant neoplasms of female breast
Female,57.9,2008,Hungary,Malignant neoplasms of female breast
Female,63,2002,Hungary,Malignant neoplasms of female breast
Female,28.4,2008,Hungary,"Malignant neoplasms of trachea, bronchus, lung"
Female,24.9,2002,Hungary,"Malignant neoplasms of trachea, bronchus, lung"
Female,30.5,2012,Hungary,"Malignant neoplasms of colon, rectum and anus"
Female,30.3,2008,Hungary,"Malignant neoplasms of colon, rectum and anus"
Female,33.7,2002,Hungary,"Malignant neoplasms of colon, rectum and anus"
Female,236.5,2012,Hungary,Malignant neoplasms
Female,238.5,2008,Hungary,Malignant neoplasms
Female,250.7,2002,Hungary,Malignant neoplasms
Female,18,2012,Hungary,Malignant neoplasms of cervix uteri
Female,96.3,2012,Iceland,Malignant neoplasms of female breast
Female,284.5,2002,Iceland,Malignant neoplasms
Female,28.9,2012,Iceland,"Malignant neoplasms of trachea, bronchus, lung"
Female,27.8,2008,Iceland,"Malignant neoplasms of trachea, bronchus, lung"
Female,30,2002,Iceland,"Malignant neoplasms of trachea, bronchus, lung"
Female,86.2,2008,Iceland,Malignant neoplasms of female breast
Female,90,2002,Iceland,Malignant neoplasms of female breast
Female,7.9,2012,Iceland,Malignant neoplasms of cervix uteri
Female,6.3,2008,Iceland,Malignant neoplasms of cervix uteri
Female,8.3,2002,Iceland,Malignant neoplasms of cervix uteri
Female,28.2,2012,Iceland,"Malignant neoplasms of colon, rectum and anus"
Female,26.7,2008,Iceland,"Malignant neoplasms of colon, rectum and anus"
Female,27,2002,Iceland,"Malignant neoplasms of colon, rectum and anus"
Female,274.2,2012,Iceland,Malignant neoplasms
Female,13.6,2012,Ireland,Malignant neoplasms of cervix uteri
Female,24.4,2008,Ireland,"Malignant neoplasms of trachea, bronchus, lung"
Female,19.7,2002,Ireland,"Malignant neoplasms of trachea, bronchus, lung"
Female,18.7,2000,Ireland,"Malignant neoplasms of trachea, bronchus, lung"
Female,18.6,1998,Ireland,"Malignant neoplasms of trachea, bronchus, lung"
Female,10.9,2008,Ireland,Malignant neoplasms of cervix uteri
Female,7.2,2002,Ireland,Malignant neoplasms of cervix uteri
Female,7.9,2000,Ireland,Malignant neoplasms of cervix uteri
Female,9.5,1998,Ireland,Malignant neoplasms of cervix uteri
Female,92.3,2012,Ireland,Malignant neoplasms of female breast
Female,93.9,2008,Ireland,Malignant neoplasms of female breast
Female,74.9,2002,Ireland,Malignant neoplasms of female breast
Female,71.6,2000,Ireland,Malignant neoplasms of female breast
Female,66.4,1998,Ireland,Malignant neoplasms of female breast
Female,27.4,2012,Ireland,"Malignant neoplasms of trachea, bronchus, lung"
Female,278.9,2012,Ireland,Malignant neoplasms
Female,285.1,2008,Ireland,Malignant neoplasms
Female,234.9,2002,Ireland,Malignant neoplasms
Female,237.1,2000,Ireland,Malignant neoplasms
Female,233.6,1998,Ireland,Malignant neoplasms
Female,27.7,2012,Ireland,"Malignant neoplasms of colon, rectum and anus"
Female,28.8,2008,Ireland,"Malignant neoplasms of colon, rectum and anus"
Female,27,2002,Ireland,"Malignant neoplasms of colon, rectum and anus"
Female,28.7,2000,Ireland,"Malignant neoplasms of colon, rectum and anus"
Female,280.4,2008,Israel,Malignant neoplasms
Female,14.4,2012,Israel,"Malignant neoplasms of trachea, bronchus, lung"
Female,16.1,2008,Israel,"Malignant neoplasms of trachea, bronchus, lung"
Female,4.6,2012,Israel,Malignant neoplasms of cervix uteri
Female,5.6,2008,Israel,Malignant neoplasms of cervix uteri
Female,80.5,2012,Israel,Malignant neoplasms of female breast
Female,96.8,2008,Israel,Malignant neoplasms of female breast
Female,30.3,2012,Israel,"Malignant neoplasms of colon, rectum and anus"
Female,36.3,2008,Israel,"Malignant neoplasms of colon, rectum and anus"
Female,255.2,2012,Italy,Malignant neoplasms
Female,6.7,2008,Italy,Malignant neoplasms of cervix uteri
Female,8.1,2002,Italy,Malignant neoplasms of cervix uteri
Female,9.1,2000,Italy,Malignant neoplasms of cervix uteri
Female,6.4,1998,Italy,Malignant neoplasms of cervix uteri
Female,251.6,2008,Italy,Malignant neoplasms
Female,231.7,2002,Italy,Malignant neoplasms
Female,217.8,2000,Italy,Malignant neoplasms
Female,205,1998,Italy,Malignant neoplasms
Female,91.3,2012,Italy,Malignant neoplasms of female breast
Female,86.3,2008,Italy,Malignant neoplasms of female breast
Female,74.4,2002,Italy,Malignant neoplasms of female breast
Female,64.9,2000,Italy,Malignant neoplasms of female breast
Female,64.4,1998,Italy,Malignant neoplasms of female breast
Female,6.7,2012,Italy,Malignant neoplasms of cervix uteri
Female,27.5,2012,Italy,"Malignant neoplasms of colon, rectum and anus"
Female,29.9,2008,Italy,"Malignant neoplasms of colon, rectum and anus"
Female,26.6,2002,Italy,"Malignant neoplasms of colon, rectum and anus"
Female,24,2000,Italy,"Malignant neoplasms of colon, rectum and anus"
Female,23.7,1998,Italy,"Malignant neoplasms of colon, rectum and anus"
Female,13.2,2012,Italy,"Malignant neoplasms of trachea, bronchus, lung"
Female,11.4,2008,Italy,"Malignant neoplasms of trachea, bronchus, lung"
Female,10.7,2002,Italy,"Malignant neoplasms of trachea, bronchus, lung"
Female,9,2000,Italy,"Malignant neoplasms of trachea, bronchus, lung"
Female,12.9,2012,Japan,"Malignant neoplasms of trachea, bronchus, lung"
Female,26.5,2002,Japan,"Malignant neoplasms of colon, rectum and anus"
Female,51.5,2012,Japan,Malignant neoplasms of female breast
Female,42.7,2008,Japan,Malignant neoplasms of female breast
Female,32.7,2002,Japan,Malignant neoplasms of female breast
Female,13.3,2008,Japan,"Malignant neoplasms of trachea, bronchus, lung"
Female,12.3,2002,Japan,"Malignant neoplasms of trachea, bronchus, lung"
Female,185.7,2012,Japan,Malignant neoplasms
Female,167.6,2008,Japan,Malignant neoplasms
Female,167.4,2002,Japan,Malignant neoplasms
Female,10.9,2012,Japan,Malignant neoplasms of cervix uteri
Female,9.8,2008,Japan,Malignant neoplasms of cervix uteri
Female,8,2002,Japan,Malignant neoplasms of cervix uteri
Female,23.5,2012,Japan,"Malignant neoplasms of colon, rectum and anus"
Female,293.6,2012,Korea,Malignant neoplasms
Female,17.9,2002,Korea,Malignant neoplasms of cervix uteri
Female,52.1,2012,Korea,Malignant neoplasms of female breast
Female,38.9,2008,Korea,Malignant neoplasms of female breast
Female,20.4,2002,Korea,Malignant neoplasms of female breast
Female,234.4,2008,Korea,Malignant neoplasms
Female,155.3,2002,Korea,Malignant neoplasms
Female,33.3,2012,Korea,"Malignant neoplasms of colon, rectum and anus"
Female,25.6,2008,Korea,"Malignant neoplasms of colon, rectum and anus"
Female,15.8,2002,Korea,"Malignant neoplasms of colon, rectum and anus"
Female,16.2,2012,Korea,"Malignant neoplasms of trachea, bronchus, lung"
Female,13.8,2008,Korea,"Malignant neoplasms of trachea, bronchus, lung"
Female,12.8,2002,Korea,"Malignant neoplasms of trachea, bronchus, lung"
Female,9.5,2012,Korea,Malignant neoplasms of cervix uteri
Female,17.3,2012,Latvia,Malignant neoplasms of cervix uteri
Female,206.5,2012,Latvia,Malignant neoplasms
Female,20.2,2012,Latvia,"Malignant neoplasms of colon, rectum and anus"
Female,7.9,2012,Latvia,"Malignant neoplasms of trachea, bronchus, lung"
Female,224,2012,Lithuania,Malignant neoplasms
Female,7.2,2012,Lithuania,"Malignant neoplasms of trachea, bronchus, lung"
Female,26.1,2012,Lithuania,Malignant neoplasms of cervix uteri
Female,18.9,2012,Lithuania,"Malignant neoplasms of colon, rectum and anus"
Female,18.5,2012,Luxembourg,"Malignant neoplasms of trachea, bronchus, lung"
Female,254.4,2008,Luxembourg,Malignant neoplasms
Female,254.2,2002,Luxembourg,Malignant neoplasms
Female,233.2,2000,Luxembourg,Malignant neoplasms
Female,216.1,1998,Luxembourg,Malignant neoplasms
Female,18.2,2008,Luxembourg,"Malignant neoplasms of trachea, bronchus, lung"
Female,13.6,2002,Luxembourg,"Malignant neoplasms of trachea, bronchus, lung"
Female,12.2,2000,Luxembourg,"Malignant neoplasms of trachea, bronchus, lung"
Female,12.9,1998,Luxembourg,"Malignant neoplasms of trachea, bronchus, lung"
Female,4.9,2012,Luxembourg,Malignant neoplasms of cervix uteri
Female,6.3,2008,Luxembourg,Malignant neoplasms of cervix uteri
Female,8.7,2002,Luxembourg,Malignant neoplasms of cervix uteri
Female,3.6,2000,Luxembourg,Malignant neoplasms of cervix uteri
Female,20,1998,Luxembourg,Malignant neoplasms of cervix uteri
Female,259.6,2012,Luxembourg,Malignant neoplasms
Female,89.1,2012,Luxembourg,Malignant neoplasms of female breast
Female,82.3,2008,Luxembourg,Malignant neoplasms of female breast
Female,82.5,2002,Luxembourg,Malignant neoplasms of female breast
Female,69.3,2000,Luxembourg,Malignant neoplasms of female breast
Female,65.4,1998,Luxembourg,Malignant neoplasms of female breast
Female,21.6,2012,Luxembourg,"Malignant neoplasms of colon, rectum and anus"
Female,25.9,2008,Luxembourg,"Malignant neoplasms of colon, rectum and anus"
Female,30.8,2002,Luxembourg,"Malignant neoplasms of colon, rectum and anus"
Female,30.9,2000,Luxembourg,"Malignant neoplasms of colon, rectum and anus"
Female,6.7,2012,Mexico,"Malignant neoplasms of colon, rectum and anus"
Female,26.4,2002,Mexico,Malignant neoplasms of female breast
Female,23.3,2012,Mexico,Malignant neoplasms of cervix uteri
Female,19.2,2008,Mexico,Malignant neoplasms of cervix uteri
Female,29.5,2002,Mexico,Malignant neoplasms of cervix uteri
Female,6.1,2008,Mexico,"Malignant neoplasms of colon, rectum and anus"
Female,7,2002,Mexico,"Malignant neoplasms of colon, rectum and anus"
Female,139.9,2012,Mexico,Malignant neoplasms
Female,126.2,2008,Mexico,Malignant neoplasms
Female,150,2002,Mexico,Malignant neoplasms
Female,4.9,2012,Mexico,"Malignant neoplasms of trachea, bronchus, lung"
Female,5.4,2008,Mexico,"Malignant neoplasms of trachea, bronchus, lung"
Female,6.7,2002,Mexico,"Malignant neoplasms of trachea, bronchus, lung"
Female,35.4,2012,Mexico,Malignant neoplasms of female breast
Female,99,2012,Netherlands,Malignant neoplasms of female breast
Female,5.4,2008,Netherlands,Malignant neoplasms of cervix uteri
Female,7.3,2002,Netherlands,Malignant neoplasms of cervix uteri
Female,7.3,2000,Netherlands,Malignant neoplasms of cervix uteri
Female,6.5,1998,Netherlands,Malignant neoplasms of cervix uteri
Female,96.8,2008,Netherlands,Malignant neoplasms of female breast
Female,86.7,2002,Netherlands,Malignant neoplasms of female breast
Female,91.6,2000,Netherlands,Malignant neoplasms of female breast
Female,82.2,1998,Netherlands,Malignant neoplasms of female breast
Female,289.6,2012,Netherlands,Malignant neoplasms
Female,271.3,2008,Netherlands,Malignant neoplasms
Female,251.4,2002,Netherlands,Malignant neoplasms
Female,253.4,2000,Netherlands,Malignant neoplasms
Female,235.9,1998,Netherlands,Malignant neoplasms
Female,6.8,2012,Netherlands,Malignant neoplasms of cervix uteri
Female,33.9,2012,Netherlands,"Malignant neoplasms of colon, rectum and anus"
Female,31,2008,Netherlands,"Malignant neoplasms of colon, rectum and anus"
Female,30.8,2002,Netherlands,"Malignant neoplasms of colon, rectum and anus"
Female,30.4,2000,Netherlands,"Malignant neoplasms of colon, rectum and anus"
Female,28.8,1998,Netherlands,"Malignant neoplasms of colon, rectum and anus"
Female,31.6,2012,Netherlands,"Malignant neoplasms of trachea, bronchus, lung"
Female,26.1,2008,Netherlands,"Malignant neoplasms of trachea, bronchus, lung"
Female,17.9,2002,Netherlands,"Malignant neoplasms of trachea, bronchus, lung"
Female,17.5,2000,Netherlands,"Malignant neoplasms of trachea, bronchus, lung"
Female,5.3,2012,New Zealand,Malignant neoplasms of cervix uteri
Female,91.9,2002,New Zealand,Malignant neoplasms of female breast
Female,23.2,2012,New Zealand,"Malignant neoplasms of trachea, bronchus, lung"
Female,23.4,2008,New Zealand,"Malignant neoplasms of trachea, bronchus, lung"
Female,20.5,2002,New Zealand,"Malignant neoplasms of trachea, bronchus, lung"
Female,5.5,2008,New Zealand,Malignant neoplasms of cervix uteri
Female,10,2002,New Zealand,Malignant neoplasms of cervix uteri
Female,33.5,2012,New Zealand,"Malignant neoplasms of colon, rectum and anus"
Female,37.5,2008,New Zealand,"Malignant neoplasms of colon, rectum and anus"
Female,42.2,2002,New Zealand,"Malignant neoplasms of colon, rectum and anus"
Female,274.3,2012,New Zealand,Malignant neoplasms
Female,287.1,2008,New Zealand,Malignant neoplasms
Female,298.8,2002,New Zealand,Malignant neoplasms
Female,85,2012,New Zealand,Malignant neoplasms of female breast
Female,9.8,2012,Norway,Malignant neoplasms of cervix uteri
Female,260.5,2002,Norway,Malignant neoplasms
Female,35.8,2012,Norway,"Malignant neoplasms of colon, rectum and anus"
Female,35.2,2008,Norway,"Malignant neoplasms of colon, rectum and anus"
Female,37.1,2002,Norway,"Malignant neoplasms of colon, rectum and anus"
